,yearID,sum(L),Attendance
21,1892,898,93589
22,1893,773,143000
23,1894,781,328000
24,1895,781,293000
25,1896,778,249448
26,1897,782,273046
27,1898,895,123416
28,1899,900,121935
29,1900,553,183000
30,1901,1094,141952
31,1902,1091,174606
32,1903,1099,379338
33,1904,1219,623295
34,1905,1218,468828
35,1906,1207,410209
36,1907,1202,436777
37,1908,1228,473048
38,1909,1218,668965
39,1910,1223,584619
40,1911,1218,503961
41,1912,1219,597096
42,1913,1213,437194
43,1914,1836,
44,1915,1833,
45,1916,1227,496397
46,1917,1225,387856
47,1918,1006,249513
48,1919,1113,417291
49,1920,1228,402445
50,1921,1226,279273
51,1922,1231,259184
52,1923,1226,229688
53,1924,1224,448556
54,1925,1224,267782
55,1926,1222,285155
56,1927,1228,305275
57,1928,1227,396920
58,1929,1221,394620
59,1930,1232,444045
60,1931,1227,350975
61,1932,1228,182150
62,1933,1216,268715
63,1934,1215,610640
64,1935,1219,558568
65,1936,1228,626895
66,1937,1225,559659
67,1938,1207,646459
68,1939,1221,573070
69,1940,1228,716234
70,1941,1230,718497
71,1942,1214,730340
72,1943,1227,358275
73,1944,1231,506975
74,1945,1218,603794
75,1946,1233,1416944
76,1947,1232,1427315
77,1948,1230,1558798
78,1949,1231,1596650
79,1950,1230,1344080
80,1951,1235,1312282
81,1952,1231,1115750
82,1953,1229,1026133
83,1954,1231,1060910
84,1955,1231,852039
85,1956,1232,901201
86,1957,1230,1029581
87,1958,1231,829991
88,1959,1234,891926
89,1960,1232,1187849
90,1961,1423,951089
91,1962,1618,790254
92,1963,1618,774343
93,1964,1620,1116215
94,1965,1619,781649
95,1966,1613,1539801
96,1967,1617,1389222
97,1968,1619,1126540
98,1969,1943,1458320
99,1970,1943,1078848
100,1971,1936,1006320
101,1972,1858,752973
102,1973,1942,800655
103,1974,1940,981085
104,1975,1933,534672
105,1976,1939,818179
106,1977,2102,872464
107,1978,2102,904494
108,1979,2096,769465
109,1980,2101,1048411
110,1981,1389,535418
111,1982,2106,1801985
112,1983,2106,2119935
113,1984,2104,1724892
114,1985,2101,1350137
115,1986,2102,1387181
116,1987,2105,1217402
117,1988,2098,848089
118,1989,2103,984930
119,1990,2105,980129
120,1991,2104,2140217
121,1992,2106,3077400
122,1993,2268,3884720
123,1994,1599,2539240
124,1995,2016,2561831
125,1996,2266,2901242
126,1997,2266,1767330
127,1998,2430,2519280
128,1999,2427,2253123
129,2000,2428,2066982
130,2001,2428,2000919
131,2002,2425,2305547
132,2003,2429,3061094
133,2004,2428,3375677
134,2005,2430,2059424
135,2006,2429,2091685
136,2007,2431,2325249
137,2008,2428,2509924
138,2009,2430,2128765
139,2010,2430,2056941
140,2011,2429,2105432
141,2012,2430,2177617
142,2013,2431,2134795
143,2014,2430,2073730
144,2015,2429,2080145
145,2016,2427,2036216
